Requisitante;Objeto;Etapa;Processo;Duracao_etapa;Data_Inicio;Data_Fim
Req_008;obj_0068;01_DFD;190074134;1;2019-08-12 00:00:00;2019-08-12 00:00:00
Req_008;obj_0068;11_RJ;190074134;13;2019-12-18 00:00:00;2020-01-04 00:00:00
Req_008;obj_0068;11_RJ;190074134;13;2020-12-20 00:00:00;2021-01-06 00:00:00
Req_048;obj_0051;01_DFD;210131178;1;2021-11-16 00:00:00;2021-11-16 00:00:00
Req_048;obj_0051;12_SR;210131178;3;2021-11-16 00:00:00;2021-11-18 00:00:00
Req_019;obj_0098;01_DFD;210125968;34;2021-11-03 00:00:00;2021-12-20 00:00:00
Req_018;obj_0036;01_DFD;210145024;4;2021-12-15 00:00:00;2021-12-20 00:00:00
Req_048;obj_0051;11_RJ;210131178;14;2021-12-19 00:00:00;2022-01-06 00:00:00
Req_008;obj_0068;11_RJ;190074134;15;2021-12-20 00:00:00;2022-01-07 00:00:00
Req_019;obj_0098;11_RJ;210125968;15;2021-12-20 00:00:00;2022-01-07 00:00:00
Req_018;obj_0036;11_RJ;210145024;16;2021-12-20 00:00:00;2022-01-10 00:00:00
Req_018;obj_0036;12_SR;210145024;7;2022-01-10 00:00:00;2022-01-18 00:00:00
Req_019;obj_0098;01_DFD;210125968;10;2022-01-07 00:00:00;2022-01-20 00:00:00
Req_018;obj_0036;05_TR;210145024;10;2022-01-18 00:00:00;2022-01-31 00:00:00
Req_018;obj_0036;12_SR;210145024;8;2022-01-31 00:00:00;2022-02-09 00:00:00
Req_018;obj_0036;05_TR;210145024;1;2022-02-09 00:00:00;2022-02-09 00:00:00
Req_018;obj_0036;12_SR;210145024;2;2022-02-09 00:00:00;2022-02-10 00:00:00
Req_018;obj_0036;04_ORÇ;210145024;8;2022-02-09 00:00:00;2022-02-18 00:00:00
Req_018;obj_0036;05_TR;210145024;2;2022-02-18 00:00:00;2022-02-21 00:00:00
Req_061;obj_0060;01_DFD;220027256;11;2022-03-07 00:00:00;2022-03-21 00:00:00
Req_018;obj_0036;12_SR;210145024;17;2022-03-22 00:00:00;2022-04-13 00:00:00
Req_018;obj_0036;02_ETP;210145024;5;2022-04-13 00:00:00;2022-04-19 00:00:00
Req_018;obj_0036;12_SR;210145024;2;2022-04-19 00:00:00;2022-04-20 00:00:00
Req_018;obj_0036;03_PP;210145024;19;2022-04-20 00:00:00;2022-05-16 00:00:00
Req_018;obj_0036;12_SR;210145024;16;2022-05-16 00:00:00;2022-06-06 00:00:00
